337;5;"His application to Yale Divinity School was rejected, and he graduated from Crozer Theological Seminary in Chester, Pennsylvania [1] with a Bachelor of Divinity in 1951.";EDUCATION
510;2;"On Thanksgiving Day of the same year, he married Alberta in the Ebenezer Church.";CONTROL
337;6;"He received his Ph.D. in Systematic theology from Boston University in 1955.";EDUCATION
353;1;"Coppola studied theatre at Hofstra University prior to studying film at UCLA and while there, he made numerous short films, including some soft core porn films.";EDUCATION
360;1;"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.";EDUCATION
379;1;"When she was seven years old, she returned to England for prep school then went on to Sherborne School for Girls.";EDUCATION
385;1;"John Snow was born in Toledo, Ohio, on August 2, 1939, and studied at Kenyon College and the University of Toledo, from where he graduated in 1962.";EDUCATION
437;1;"Born Anne Mobley in Omaha, Nebraska, she attended Bennington College and became interested in the theatre.";EDUCATION
443;2;"At seventeen he commenced regular medical studies at Charing Cross Hospital, where he had obtained a scholarship, but was kicked out because he had gotten a numberous amount of newly hired nurses pregnant.";EDUCATION
446;1;"In 1825 Darwin went to Edinburgh University to study medicine, but his revulsion at the brutality of surgery led him to neglect his medical studies.";EDUCATION
447;5;"When he went to the nearby Shrewsbury School the next year, he lived there as a 'boarder'.";EDUCATION
512;1;"He was born into a family of Swedish nobility.";CONTROL
455;1;"In 1827, his father, unhappy that his younger son would not become a physician, enrolled him in a Bachelor of Arts course at Christ's College, University of Cambridge, which would qualify him to be a clergyman.";EDUCATION
467;1;"He was born in Cambridge, and educated at Stowe School and Trinity College, Cambridge.";EDUCATION
470;3;"His long academic career included 37 years at the University of Wales, Swansea, between 1945 and 1982, and ten as vice-president of the University College of Wales, Aberystwyth.";EDUCATION
484;4;"He was educated at Harrow, and in 1869 entered the 83rd Foot.";EDUCATION
496;1;"Dorothy attended Miss Porter's School and earned a B.A. from Boston College in 1982.";EDUCATION
506;1;"King Jr. became an associate pastor at Ebenezer in 1948, and his father wrote a letter of recommendation for him to Crozer College.";EDUCATION
510;1;"In 1926, King started his ministerial degree at the Morehouse School of Religion.";EDUCATION
512;3;"His father, Richert Vogt von Koch (1838-1913) was a Lieutenant-Colonel in the Royal Horse Guards of Sweden.";CONTROL
519;1;"He graduated Phi Beta Kappa and magna cum laude (21st of 177) from Harvard University in 1880, and entered Columbia Law School that same year.";EDUCATION
524;1;"After his family returned to their home in New York, Roosevelt started intensive tutoring under Arthur Hamilton Cutler in preparation for the Harvard University entrance exam.";EDUCATION
539;1;"He was born in Montpelier, Vermont, attended Norwich University for two years (1852-1854), and graduated from the Naval Academy in 1858.";EDUCATION
543;2;"He attended Wake Forest University.";EDUCATION
513;2;"Carroll is generally considered one of the best head coaches in the college ranks, as well as one of the sport's top recruiters.";CONTROL
555;1;"She was educated at Bryn Mawr College, receiving a degree in history and philosophy in 1928, the same year she debuted on Broadway after landing a bit part in Night Hostess.";EDUCATION
633;3;"He attended Harvard Law School, but left before his final year to volunteer as a United States Navy flier.";EDUCATION
639;2;"He returned to the United States and graduated from Franklin and Marshall College in Lancaster, Pennsylvania, where he was active in drama.";EDUCATION
639;3;"He studied law at Columbia University in New York City but his education was interrupted by service with the United States Navy in World War II during which he served with American amphibious forces in Europe and North Africa.";EDUCATION
662;2;"After his khâgne at Lycée Henri IV, where he befriended Senegalese poet and statesman Leopold Sedar Senghor, he graduated from the École Normale Supérieure with a degree of Agrégation in philosophy.";EDUCATION
688;2;"He was educated in Carlanstown NS and in St. Patrick's Classical School in Navan.";EDUCATION
515;4;"This technique was particularly useful in his excavation of the Hanging Gardens of Babylon (1899-1917) which was built (ca. 580 BC) using mainly unfired mudbricks.";CONTROL
692;2;"Despite the poverty he grew up in, he managed to win a scholarship to the Laurinburg Institute in North Carolina.";EDUCATION
704;2;"He was previously a star college player at Ole Miss from 1968-1970; in his junior season he finished fourth in the voting for the Heisman Trophy, and in his senior season he finished third.";EDUCATION
714;2;"He studied at Juilliard and later at the Manhattan School of Music.";EDUCATION
516;5;"After he died the Koldewey Society was established to record and mark his architectural service.";CONTROL
731;3;"He served in the United States Army in World War II, then got a law degree from Tulane University.";EDUCATION
747;2;"After a period spent traveling abroad with her family, she enrolled in the University of Chicago in 1912, graduating in 1914.";EDUCATION
750;3;"He had been educated at Oxford and his closest friends and outlook on life were British.";EDUCATION
757;2;"After graduating from Andover, an exclusive New England boarding school, Libby graduated from Yale University in 1972, where one of his professors was Paul Wolfowitz.";EDUCATION
761;1;"Wright later attended Kenyon College, from which he graduated cum laude, after which he received a Fulbright Fellowship and travelled to Austria.";EDUCATION
778;1;"Barry played at the University of Miami in the early-mid 1960s, where he lead the NCAA in scoring.";EDUCATION
790;2;"He graduated in 1937 from the University of California, Berkeley with a degree in economics and philosophy, and earned a master's degree from the Harvard Graduate School of Business Administration in 1939.";EDUCATION
800;3;"After high school, Hanks attended Chabot College in Hayward, California and transferred to California State University, Sacramento where he studied theatre.";EDUCATION
828;2;"He was educated at Boston Latin School before attending Boston College.";EDUCATION
